year,region,pathway,total_capacity_mt_yr,new_capacity_mt_yr,expansion_triggered,solver_status,npv_cost_usd_m
2040,MENA,HEFA,1.0541,0.0824,True,optimal,0.04
2040,MENA,ATJ,2.2953,0.187,True,optimal,0.04
2040,MENA,FT-MSW,0.9229,0.0779,True,optimal,0.04
2040,MENA,Co-processing,2.5199,0.1948,True,optimal,0.04
2040,MENA,PtL,3.7152,0.267,True,optimal,0.04
2041,EU,HEFA,2.6917,0.1929,True,optimal,0.053
2041,EU,ATJ,8.2848,1.0512,True,optimal,0.053
2041,EU,Co-processing,8.0075,0.6018,True,optimal,0.053
2041,EU,FT-MSW,0.2835,0.0,True,optimal,0.053
2041,US,HEFA,2.9063,0.216,True,optimal,0.053
2041,US,Co-processing,10.3441,0.8024,True,optimal,0.053
2041,US,ATJ,1.661,0.0302,True,optimal,0.053
2041,APAC,HEFA,0.4409,0.0,True,optimal,0.053
2041,APAC,Co-processing,10.793,0.838,True,optimal,0.053
2041,APAC,ATJ,1.6525,0.0,True,optimal,0.053
2041,LATAM,Co-processing,2.9857,0.2087,True,optimal,0.053
2041,LATAM,ATJ,0.0098,0.0,True,optimal,0.053
2041,ROW,Co-processing,2.9463,0.221,True,optimal,0.053
2041,MENA,HEFA,1.1389,0.0848,True,optimal,0.053
2041,MENA,ATJ,2.4878,0.1926,True,optimal,0.053
2041,MENA,FT-MSW,1.0031,0.0802,True,optimal,0.053
2041,MENA,Co-processing,2.7205,0.2006,True,optimal,0.053
2041,MENA,PtL,4.0079,0.2927,True,optimal,0.053
2042,EU,HEFA,2.8903,0.1986,True,optimal,0.044
2042,EU,ATJ,8.6031,0.3183,True,optimal,0.044
2042,EU,Co-processing,8.6274,0.6199,True,optimal,0.044
2042,EU,FT-MSW,0.2835,0.0,True,optimal,0.044
2042,US,HEFA,3.1288,0.2225,True,optimal,0.044
2042,US,Co-processing,11.1704,0.8264,True,optimal,0.044
2042,US,ATJ,1.6988,0.0378,True,optimal,0.044
2042,APAC,HEFA,0.4409,0.0,True,optimal,0.044
2042,APAC,Co-processing,11.6721,0.8792,True,optimal,0.044
2042,APAC,ATJ,1.6525,0.0,True,optimal,0.044
2042,LATAM,Co-processing,3.2035,0.2178,True,optimal,0.044
2042,LATAM,ATJ,0.0098,0.0,True,optimal,0.044
2042,ROW,Co-processing,3.1788,0.2325,True,optimal,0.044
2042,MENA,HEFA,1.2263,0.0874,True,optimal,0.044
2042,MENA,ATJ,2.6862,0.1984,True,optimal,0.044
2042,MENA,FT-MSW,1.0857,0.0827,True,optimal,0.044
2042,MENA,Co-processing,2.9271,0.2066,True,optimal,0.044
2042,MENA,PtL,4.3276,0.3197,True,optimal,0.044
2043,EU,HEFA,3.0949,0.2047,True,optimal,0.064
2043,EU,ATJ,9.965,1.362,True,optimal,0.064
2043,EU,Co-processing,9.2657,0.6384,True,optimal,0.064
2043,EU,FT-MSW,0.4246,0.141,True,optimal,0.064
2043,US,HEFA,3.3579,0.2291,True,optimal,0.064
2043,US,Co-processing,12.0217,0.8512,True,optimal,0.064
2043,US,ATJ,1.7447,0.0459,True,optimal,0.064
2043,APAC,HEFA,0.4409,0.0,True,optimal,0.064
2043,APAC,Co-processing,12.5942,0.9221,True,optimal,0.064
2043,APAC,ATJ,1.6525,0.0,True,optimal,0.064
2043,LATAM,Co-processing,3.4306,0.2271,True,optimal,0.064
2043,LATAM,ATJ,0.0098,0.0,True,optimal,0.064
2043,ROW,Co-processing,3.4232,0.2444,True,optimal,0.064
2043,MENA,HEFA,1.3164,0.0901,True,optimal,0.064
2043,MENA,ATJ,2.8905,0.2043,True,optimal,0.064
2043,MENA,FT-MSW,1.1709,0.0851,True,optimal,0.064
2043,MENA,Co-processing,3.1399,0.2127,True,optimal,0.064
2043,MENA,PtL,4.6758,0.3482,True,optimal,0.064
2044,EU,HEFA,3.3057,0.2107,True,optimal,0.049
2044,EU,ATJ,10.3472,0.3822,True,optimal,0.049
2044,EU,Co-processing,9.9234,0.6576,True,optimal,0.049
2044,EU,FT-MSW,0.4246,0.0,True,optimal,0.049
2044,US,HEFA,3.594,0.2361,True,optimal,0.049
2044,US,Co-processing,12.8984,0.8768,True,optimal,0.049
2044,US,ATJ,1.7993,0.0546,True,optimal,0.049
2044,APAC,HEFA,0.4409,0.0,True,optimal,0.049
2044,APAC,Co-processing,13.561,0.9668,True,optimal,0.049
2044,APAC,ATJ,1.6525,0.0,True,optimal,0.049
2044,LATAM,Co-processing,3.6674,0.2368,True,optimal,0.049
2044,LATAM,ATJ,0.0098,0.0,True,optimal,0.049
2044,ROW,Co-processing,3.68,0.2568,True,optimal,0.049
2044,MENA,HEFA,1.409,0.0927,True,optimal,0.049
2044,MENA,ATJ,3.1009,0.2104,True,optimal,0.049
2044,MENA,FT-MSW,1.2585,0.0877,True,optimal,0.049
2044,MENA,Co-processing,3.3591,0.2193,True,optimal,0.049
2044,MENA,PtL,5.0539,0.3781,True,optimal,0.049
2045,EU,HEFA,3.3057,0.0,True,optimal,0.019
2045,EU,ATJ,10.3472,0.0,True,optimal,0.019
2045,EU,Co-processing,10.4826,0.5593,True,optimal,0.019
2045,EU,FT-MSW,0.4246,0.0,True,optimal,0.019
2045,US,HEFA,3.594,0.0,True,optimal,0.019
2045,US,Co-processing,13.5668,0.6684,True,optimal,0.019
2045,US,ATJ,1.7993,0.0,True,optimal,0.019
2045,APAC,HEFA,0.4409,0.0,True,optimal,0.019
2045,APAC,Co-processing,14.0107,0.4496,True,optimal,0.019
2045,APAC,ATJ,1.6525,0.0,True,optimal,0.019
2045,LATAM,Co-processing,3.7634,0.096,True,optimal,0.019
2045,LATAM,ATJ,0.0098,0.0,True,optimal,0.019
2045,ROW,Co-processing,3.798,0.118,True,optimal,0.019
2045,MENA,HEFA,1.5046,0.0955,True,optimal,0.019
2045,MENA,ATJ,3.2324,0.1315,True,optimal,0.019
2045,MENA,FT-MSW,1.2585,0.0,True,optimal,0.019
2045,MENA,Co-processing,3.5849,0.2258,True,optimal,0.019
2045,MENA,PtL,5.0539,0.0,True,optimal,0.019
